id,nom,latitude,longitude,departement
58250,Montaron,46.876229584,3.74814841,58
58130,Montigny Aux Amognes,47.025418665,3.279291198,58
58230,Montsauche Les Settons,47.214293843,4.033132574,58
58700,Moussy,47.196501089,3.458811837,58
58450,Neuvy Sur Loire,47.532184059,2.890145485,58
58320,Parigny Les Vaux,47.100804556,3.14618141,58
58220,Perroy,47.404986749,3.164677484,58
58200,Pougny,47.393831753,3.023949976,58
58400,Raveau,47.17926708,3.11591039,58
58500,Rix,47.428512741,3.497810228,58
58110,Rouy,47.038444956,3.540866134,58
58470,Saincaize Meauce,46.907173624,3.086845687,58
58310,St Amand En Puisaye,47.548323784,3.078355821,58
58150,St Andelain,47.310384116,2.979820121,58
58130,St Aubin Les Forges,47.142698568,3.188014293,58
58270,St Benin D Azy,46.996333663,3.404599867,58
58230,St Brisson,47.267265254,4.095032233,58
58220,Ste Colombe Des Bois,47.320917806,3.153157406,58
58190,St Didier,47.347673421,3.620226539,58
58210,St Germain Des Bois,47.368787274,3.519227773,58
58120,St Hilaire En Morvan,47.06844189,3.887071717,58
58130,St Martin D Heuille,47.047771084,3.232701792,58
58490,St Parize Le Chatel,46.850549482,3.184554383,58
58110,St Pereuse,47.058655622,3.809291888,58
58210,St Pierre Du Mont,47.397152106,3.445964737,58
58330,St Saulge,47.101706892,3.519020775,58
58190,Saizy,47.356468636,3.699305614,58
58160,Sauvigny Les Bois,46.97672732,3.265716918,58
58170,Savigny Poil Fol,46.783063431,3.834829642,58
58290,Sermages,47.014754309,3.840844707,58
58300,Sougy Sur Loire,46.860833962,3.406365103,58
58420,Taconnay,47.312462675,3.489728345,58
58110,Tamnay En Bazois,47.05447347,3.723322788,58
58250,Ternant,46.752204501,3.848258349,58
58110,Tintury,47.001103423,3.587717764,58
58150,Tracy Sur Loire,47.328811429,2.913507219,58
58260,Trois Vevres,46.911289164,3.422713491,58
58640,Varennes Vauzelles,47.037171544,3.143816706,58
58140,Vauclaix,47.226945644,3.818473294,58
58370,Villapourcon,46.938009519,3.956586921,58
58210,Villiers Le Sec,47.376396559,3.438075945,58
39500,Abergement La Ronce,47.064796871,5.3777147020000005,39
39110,Aiglepierre,46.955778512,5.809725465,39
39110,Andelot En Montagne,46.859307701,5.9287358910000005,39
39120,Annoire,46.959137146,5.277080177,39
39600,Arbois,46.894404349,5.773071251,39
39300,Ardon,46.772582561,5.876813684,39
39240,Arinthod,46.393818871,5.582269114,39
39600,Les Arsures,46.952953571,5.78448162,39
39270,La Chailleuse,46.581654364,5.526378282,39
39190,Augea,46.561977614,5.389704364,39
39270,Augisey,46.554958723,5.495274567,39
39100,Authume,47.125097086,5.5077556990000005,39
39130,Baresia Sur L Ain,46.542556338,5.702967812,39
39800,Bersaillin,46.857207383,5.595263907,39
39250,Bief Du Fourg,46.820307882,6.116823945,39
39140,Bletterans,46.73099818,5.426692489,39
39130,Boissia,46.580398304,5.721268625,39
39800,Brainans,46.874338822,5.627977286,39
39110,Cernans,46.93402991,5.938916487,39
39570,Cesancey,46.622738688,5.493457369,39
39380,Chamblay,46.990400377,5.703642578,39
39290,Champagney,47.260097181,5.5044443,39
39300,Champagnole,46.744975968,5.8983600670000005,39
39500,Champdivers,47.007794972,5.390195236,39
39230,Champrougier,46.87911614,5.512528995,39
39230,La Chassagne,46.868024219,5.4550856880000005,39
39130,Chatel De Joux,46.52980412,5.809442391,39
39150,La Chaumusse,46.600726273,5.943755309,39
39150,Chaux Des Crotenay,46.66328688,5.957121204,39
39150,Nanchez,46.500781245,5.861824827,39
39240,St Hymetiere Sur Valouse,46.347931605,5.5673489830000005,39
39240,St Hymetiere Sur Valouse,46.347931605,5.5673489830000005,39
39240,St Hymetiere Sur Valouse,46.347931605,5.5673489830000005,39
39190,Chevreaux,46.499559331,5.43244807,39
39130,Chevrotaine,46.652848582,5.860571474,39
39370,Choux,46.30173613,5.770142336,39
39570,Courbette,46.598515602,5.569052397,39
39300,Crans,46.695251604,5.982330751,39
39270,Cressia,46.526997962,5.483738782,39
39230,Darbonnay,46.825255392,5.60789332,39
39140,Desnes,46.767768879,5.468146705,39
39230,Domblans,46.769387126,5.587256626,39
39270,Ecrille,46.502347659,5.633946941,39
39160,Val D Epy,46.389785344,5.397605725,39
39320,Val D Epy,46.389785344,5.397605725,39
39570,L Etoile,46.715901208,5.534098399,39
39700,Falletans,47.081906099,5.566900417,39
39800,Fay En Montagne,46.753761219,5.71729563,39
39600,La Ferte,46.940273716,5.650059485,39
39130,Fontenu,46.672524779,5.814694447,39
39250,Fraroz,46.728653012,6.095349334,39
39210,Frontenay,46.787924716,5.631315523,39
39320,Gigny,46.454282314,5.471075037,39
39150,Grande Riviere Chateau,46.528638867,5.909426948,39
39120,Les Hays,46.908635733,5.39126767,39
39110,Ivory,46.899110215,5.849311438,39
39360,Larrivoire,46.339008848,5.787878066,39
39260,Lect,46.394732447,5.672467609,39
39240,Valzin En Petite Montagne,46.431656241,5.585594549,39
39400,Longchaumois,46.463174814,5.963032775,39
39000,Lons Le Saunier,46.674816281,5.557754161,39
39700,Malange,47.183846224,5.614911678,39
39230,Mantry,46.794726176,5.555211245,39
